"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P122","Phl-F","Des-P","P","F","P","Phl","Des",2,2,0.607033333333333,0.0465,0.653533333333333
"P123","Phl-F","Nar-F","P","F","F","Phl","Nar",2,2,0.723783333333333,0.223533333333334,0.947316666666667
"P124","Phl-F","Nar-P","P","F","P","Phl","Nar",2,2,0.709283333333333,0.0507,0.759983333333333
"P125","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.202883333333333,0.224333333333333,0.427216666666666
"P126","Phl-F","Phl-P","P","F","P","Phl","Phl",1,2,0.1901,0.0807,0.2708
"P127","Phl-F","Poa-F","P","F","F","Phl","Poa",2,2,0.392883333333333,0.1095,0.502383333333333
"P128","Phl-F","Poa-P","P","F","P","Phl","Poa",2,2,0.619433333333333,0.1114,0.730833333333333
"P129","Phl-P","Des-F","P","P","F","Phl","Des",2,2,0.572633333333333,0.194983333333333,0.767616666666666
"P130","Phl-P","Des-P","P","P","P","Phl","Des",2,2,0.451233333333333,0.163016666666667,0.61425
"P131","Phl-P","Nar-F","P","P","F","Phl","Nar",2,2,0.650033333333333,0.1789,0.828933333333333
"P132","Phl-P","Nar-P","P","P","P","Phl","Nar",2,2,0.753833333333333,0.351133333333333,1.10496666666667
"P133","Phl-P","Phl-F","P","P","F","Phl","Phl",1,2,0.082,0.1531,0.2351
"P134","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.444383333333333,0.329383333333333,0.773766666666666
"P135","Phl-P","Poa-F","P","P","F","Phl","Poa",2,2,0.351083333333334,0.388933333333333,0.740016666666667
"P136","Phl-P","Poa-P","P","P","P","Phl","Poa",2,2,0.881433333333333,0.167,1.04843333333333
"P137","Poa-F","Des-F","P","F","F","Poa","Des",2,2,0.539333333333333,0.171,0.710333333333333
"P138","Poa-F","Des-P","P","F","P","Poa","Des",2,2,0.718333333333333,0.282633333333333,1.00096666666667
"P139","Poa-F","Nar-F","P","F","F","Poa","Nar",2,2,0.504033333333333,0.324633333333333,0.828666666666666
"P140","Poa-F","Nar-P","P","F","P","Poa","Nar",2,2,0.586533333333334,0.1808,0.767333333333334
"P141","Poa-F","Phl-F","P","F","F","Poa","Phl",2,2,0.0846,0.440183333333333,0.524783333333333
"P142","Poa-F","Phl-P","P","F","P","Poa","Phl",2,2,0.1677,0.463733333333333,0.631433333333333
"P143","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.369733333333333,0.539483333333334,0.909216666666667
"P144","Poa-F","Poa-P","P","F","P","Poa","Poa",1,2,0.669533333333334,0.0937,0.763233333333334
"P145","Poa-P","Des-F","P","P","F","Poa","Des",2,2,0.755983333333333,0.471533333333333,1.22751666666667
"P146","Poa-P","Des-P","P","P","P","Poa","Des",2,2,0.535733333333333,0.554883333333333,1.09061666666667
"P147","Poa-P","Nar-F","P","P","F","Poa","Nar",2,2,0.416883333333333,0.458283333333333,0.875166666666666
"P148","Poa-P","Nar-P","P","P","P","Poa","Nar",2,2,0.341883333333334,0.525333333333333,0.867216666666667
"P149","Poa-P","Phl-F","P","P","F","Poa","Phl",2,2,0.0589,0.933933333333333,0.992833333333333
"P150","Poa-P","Phl-P","P","P","P","Poa","Phl",2,2,0.301583333333334,0.809483333333333,1.11106666666667
"P151","Poa-P","Poa-F","P","P","F","Poa","Poa",1,2,0.335533333333333,0.598433333333333,0.933966666666666
"P152","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.501283333333333,0.387083333333333,0.888366666666666
"P153","Des-F","Des-F","P","F","F","Des","Des",1,1,0.303783333333334,0.442883333333333,0.746666666666667
"P154","Des-P","Des-P","P","P","P","Des","Des",1,1,0.375383333333334,0.367583333333333,0.742966666666667
"P155","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.462683333333333,0.385433333333333,0.848116666666666
"P156","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.481433333333333,0.380883333333334,0.862316666666667
"P157","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.239083333333334,0.0564,0.295483333333334
"P158","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.1741,0.308183333333333,0.482283333333333
"P159","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.461383333333333,0.657183333333333,1.11856666666667
"P160","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.628683333333333,0.611633333333333,1.24031666666667
"P161","Des-F","Des-F","P","F","F","Des","Des",1,1,0.453233333333333,0.453983333333333,0.907216666666666
"P162","Des-P","Des-P","P","P","P","Des","Des",1,1,0.303133333333333,0.440983333333333,0.744116666666666
"P163","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.498783333333334,0.554383333333333,1.05316666666667
"P164","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.569783333333333,0.646683333333333,1.21646666666667
"P165","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.0852,0.0775,0.1627
"P166","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.297683333333333,0.377133333333334,0.674816666666667
"P167","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.402983333333333,0.659333333333333,1.06231666666667
"P168","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.445783333333334,0.388483333333333,0.834266666666667
"P169","Des-F","Des-F","P","F","F","Des","Des",1,1,0.481483333333333,0.432683333333333,0.914166666666666
"P170","Des-P","Des-P","P","P","P","Des","Des",1,1,0.236133333333333,0.372633333333333,0.608766666666666
"P171","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.406433333333334,0.364433333333333,0.770866666666667
"P172","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.702883333333333,0.349383333333333,1.05226666666667
"P173","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.238683333333333,0.255733333333333,0.494416666666666
"P174","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.1329,0.1613,0.2942
"P175","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.274283333333333,0.2194,0.493683333333333
"P176","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.581283333333333,0.270483333333333,0.851766666666666
