"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","roots"
"P162","Des-P","Des-P","P","P","P","Des","Des",1,1,3.0312
"P163","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.91775
"P164","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,2.8926
"P165","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.2482
"P166","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,1.5392
"P167","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,1.8848
"P168","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,1.80695
"P169","Des-F","Des-F","P","F","F","Des","Des",1,1,2.6476
"P170","Des-P","Des-P","P","P","P","Des","Des",1,1,1.2582
"P171","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.50035
"P172","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,2.06825
"P173","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.2002
"P174","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.93495
"P175","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,1.1305
"P176","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,2.41135
